headline_text,label,tokenized_sents,developed_exists,developing_exists,cat
downer urges australians leave iraq,0,"{'downer', 'leave', 'australians', 'iraq', 'urges'}",0,1,developing
human shield determined stay iraq,1,"{'human', 'iraq', 'shield', 'determined', 'stay'}",0,1,developing
islamic leaders open iraq summit,0,"{'summit', 'open', 'iraq', 'leaders', 'islamic'}",0,1,developing
israel arrests 20 demolishes house west bank,-1,"{'west', 'house', '20', 'bank', 'demolishes', 'arrests', 'israel'}",1,0,developed
leaders struggle revive n ireland peace process,1,"{'peace', 'revive', 'ireland', 'struggle', 'leaders', 'process', 'n'}",1,0,developed
norway player helped topple england dies,0,"{'norway', 'dies', 'helped', 'topple', 'england', 'player'}",1,0,developed
nz woman offers bush crucifixion peace deal,1,"{'peace', 'bush', 'deal', 'woman', 'offers', 'crucifixion', 'nz'}",1,0,developed
palestinian israeli dispute still us agenda,-1,"{'israeli', 'us', 'still', 'dispute', 'agenda', 'palestinian'}",1,0,developed
pm denies sas troops already iraq,-1,"{'already', 'sas', 'denies', 'pm', 'iraq', 'troops'}",0,1,developing
police seeking extradition uk pair,0,"{'seeking', 'uk', 'pair', 'extradition', 'police'}",1,0,developed
russia refuses rule veto iraq,0,"{'rule', 'refuses', 'russia', 'veto', 'iraq'}",0,1,developing
separatist group denies involvement philippines,-1,"{'involvement', 'separatist', 'denies', 'group', 'philippines'}",0,1,developing
south says fears us attack north korea groundless,-1,"{'north', 'says', 'korea', 'us', 'attack', 'fears', 'groundless', 'south'}",1,0,developed
us indicates may abandon second resolution,-1,"{'resolution', 'us', 'may', 'second', 'abandon', 'indicates'}",1,0,developed
us poets rise war iraq,-1,"{'us', 'poets', 'iraq', 'war', 'rise'}",1,1,developed/developing
us sends 24 bombers deterrent north korea,0,"{'24', 'north', 'korea', 'us', 'sends', 'bombers', 'deterrent'}",1,0,developed
us suspends spy flights sea japan,0,"{'suspends', 'flights', 'us', 'japan', 'spy', 'sea'}",1,0,developed
aust share market finishes red,1,"{'finishes', 'market', 'share', 'aust', 'red'}",1,0,developed
blame us duckworth tells south,-1,"{'blame', 'us', 'tells', 'duckworth', 'south'}",1,0,developed
britain offers amend un resolution,0,"{'britain', 'amend', 'resolution', 'offers', 'un'}",1,0,developed
british conductor takes head post opera,0,"{'head', 'takes', 'conductor', 'british', 'opera', 'post'}",1,0,developed
china announces record budget deficit,-1,"{'record', 'budget', 'deficit', 'china', 'announces'}",1,0,developed
coalition planes swarm iraq fly zone,-1,"{'coalition', 'fly', 'planes', 'swarm', 'zone', 'iraq'}",0,1,developing
defence force ready action iraq,1,"{'force', 'defence', 'action', 'iraq', 'ready'}",0,1,developing
fiji aust sign counter terrorism agreement,-1,"{'fiji', 'agreement', 'counter', 'aust', 'terrorism', 'sign'}",1,1,developed/developing
fiji soldiers trap hoodlums east timor,-1,"{'fiji', 'trap', 'timor', 'soldiers', 'hoodlums', 'east'}",0,1,developing
iraq destroys six al samoud missiles,-1,"{'al', 'destroys', 'missiles', 'samoud', 'iraq', 'six'}",0,1,developing
iraq war barrier armstrongs tour de france,-1,"{'armstrongs', 'de', 'france', 'war', 'iraq', 'tour', 'barrier'}",1,1,developed/developing
israel answers bus bombing 2 die refugee camp,-1,"{'die', 'answers', '2', 'bombing', 'bus', 'camp', 'israel', 'refugee'}",1,0,developed
israel raids gaza strip retaliation suicide,-1,"{'retaliation', 'gaza', 'suicide', 'raids', 'israel', 'strip'}",1,0,developed
nbl defends kiwi inclusion eyes china,0,"{'defends', 'eyes', 'inclusion', 'kiwi', 'nbl', 'china'}",1,0,developed
need new resolution china,-1,"{'china', 'new', 'resolution', 'need'}",1,0,developed
pakistan faces world cup flop probe,-1,"{'flop', 'cup', 'faces', 'world', 'pakistan', 'probe'}",0,1,developing
philippines authorities name davao airport bomber,0,"{'bomber', 'name', 'airport', 'authorities', 'davao', 'philippines'}",0,1,developing
probe begins deaths two prisoners us,-1,"{'two', 'deaths', 'us', 'begins', 'prisoners', 'probe'}",1,0,developed
space giants admit passing us secrets china,1,"{'space', 'admit', 'secrets', 'us', 'passing', 'giants', 'china'}",1,0,developed
us deployment north korea shouldnt,0,"{'north', 'korea', 'us', 'shouldnt', 'deployment'}",1,0,developed
us expels two members iraqi un mission,-1,"{'two', 'members', 'mission', 'expels', 'us', 'iraqi', 'un'}",1,0,developed
us researchers claim aspirin could prevent colon,0,"{'researchers', 'prevent', 'us', 'claim', 'aspirin', 'could', 'colon'}",1,0,developed
war iraq imminent perth reverend,-1,"{'reverend', 'imminent', 'perth', 'war', 'iraq'}",0,1,developing
wa seals long term gas supply deal japan,0,"{'long', 'term', 'deal', 'japan', 'wa', 'gas', 'seals', 'supply'}",1,0,developed
zimbabwe fans arrested pakistan match,-1,"{'match', 'fans', 'zimbabwe', 'pakistan', 'arrested'}",0,1,developing
aust creates ambassador counter terrorism,-1,"{'counter', 'aust', 'creates', 'terrorism', 'ambassador'}",1,0,developed
australia charges semis,-1,"{'australia', 'charges', 'semis'}",1,0,developed
cubs born virtually extinct south china tiger,0,"{'cubs', 'extinct', 'born', 'tiger', 'china', 'virtually', 'south'}",1,0,developed
english fa dismisses aust friendly plans,1,"{'plans', 'dismisses', 'friendly', 'fa', 'aust', 'english'}",1,0,developed
five year old complies court summons india,0,"{'court', 'old', 'five', 'india', 'complies', 'year', 'summons'}",0,1,developing
flight centre announces british expansion,0,"{'flight', 'expansion', 'british', 'centre', 'announces'}",1,0,developed
gaps iraq kuwait border fence access us,0,"{'fence', 'access', 'us', 'iraq', 'kuwait', 'gaps', 'border'}",1,1,developed/developing
gilchrist gets aust blazing start,0,"{'gilchrist', 'gets', 'blazing', 'start', 'aust'}",1,0,developed
howard plays uk compromise,1,"{'uk', 'howard', 'compromise', 'plays'}",1,0,developed
human shields expelled iraq,-1,"{'shields', 'expelled', 'iraq', 'human'}",0,1,developing
india wont repeat kenya mistake ganguly,1,"{'mistake', 'repeat', 'ganguly', 'kenya', 'wont', 'india'}",0,1,developing
iraq engaged wilful charade says bush,1,"{'charade', 'says', 'bush', 'engaged', 'iraq', 'wilful'}",0,1,developing
iraq unrest guts livestock exports,0,"{'livestock', 'iraq', 'unrest', 'exports', 'guts'}",0,1,developing
kenya opts bat india,0,"{'india', 'opts', 'bat', 'kenya'}",0,1,developing
life sweet lolly hungry britain,1,"{'sweet', 'lolly', 'life', 'hungry', 'britain'}",1,0,developed
media group urges journalists safety iraq,1,"{'journalists', 'media', 'iraq', 'group', 'safety', 'urges'}",0,1,developing
micronesia president loses national election,-1,"{'president', 'national', 'loses', 'micronesia', 'election'}",0,1,developing
saddam tells bush remember vietnam,0,"{'bush', 'tells', 'vietnam', 'saddam', 'remember'}",0,1,developing
un president says war iraq justified,-1,"{'says', 'president', 'war', 'iraq', 'justified', 'un'}",0,1,developing
un security council ready debate iraq resolution,1,"{'resolution', 'council', 'debate', 'iraq', 'ready', 'un', 'security'}",0,1,developing
aust charges semis,-1,"{'semis', 'charges', 'aust'}",1,0,developed
australia books semi final spot,0,"{'books', 'australia', 'final', 'spot', 'semi'}",1,0,developed
australia orders embassy spy home iraq,0,"{'embassy', 'australia', 'home', 'iraq', 'spy', 'orders'}",1,1,developed/developing
blix delivers positive report iraq,1,"{'delivers', 'blix', 'report', 'iraq', 'positive'}",0,1,developing
burma claims us black list unfair,-1,"{'claims', 'us', 'burma', 'list', 'unfair', 'black'}",1,1,developed/developing
china says man admits uni bombings,1,"{'says', 'man', 'bombings', 'admits', 'uni', 'china'}",1,0,developed
coulthard wins aust grand prix,1,"{'grand', 'wins', 'coulthard', 'prix', 'aust'}",1,0,developed
embassy advises australians leave israel,0,"{'embassy', 'advises', 'leave', 'australians', 'israel'}",1,0,developed
ganguly guides india victory,0,"{'india', 'guides', 'ganguly', 'victory'}",0,1,developing
howard faces small protest nz landing,-1,"{'landing', 'small', 'faces', 'protest', 'nz', 'howard'}",1,0,developed
howard face anti war protest nz,-1,"{'anti', 'protest', 'nz', 'war', 'face', 'howard'}",1,0,developed
hundreds rally peace howard opens nz,1,"{'peace', 'rally', 'opens', 'nz', 'howard', 'hundreds'}",1,0,developed
indian muslims march us threats,-1,"{'us', 'threats', 'muslims', 'indian', 'march'}",1,0,developed
injured jayasuriya doubtful india clash,-1,"{'injured', 'doubtful', 'india', 'jayasuriya', 'clash'}",0,1,developing
iraq destroys 6 al samoud missiles official,-1,"{'al', '6', 'destroys', 'samoud', 'missiles', 'official', 'iraq'}",0,1,developing
iraq dominates pms nz trip,0,"{'pms', 'trip', 'nz', 'iraq', 'dominates'}",1,1,developed/developing
jordan denies mid east oil deal,-1,"{'deal', 'denies', 'oil', 'jordan', 'east', 'mid'}",0,1,developing
labor blasts delay deporting iraq spy,-1,"{'blasts', 'spy', 'deporting', 'delay', 'iraq', 'labor'}",0,1,developing
nauru president critical condition,-1,"{'president', 'nauru', 'condition', 'critical'}",0,1,developing
n korea spokesman gives us ominous warning,-1,"{'spokesman', 'korea', 'us', 'warning', 'gives', 'ominous', 'n'}",1,0,developed
uk babyholic gives birth 15th child,0,"{'uk', 'gives', '15th', 'birth', 'child', 'babyholic'}",1,0,developed
uk muslim cleric jailed inciting hostile,-1,"{'inciting', 'uk', 'hostile', 'cleric', 'jailed', 'muslim'}",1,0,developed
un security council defers iraq decision,1,"{'decision', 'council', 'defers', 'iraq', 'un', 'security'}",0,1,developing
us imposes economic sanctions mugabe officials,0,"{'us', 'economic', 'mugabe', 'imposes', 'officials', 'sanctions'}",1,0,developed
us troops accused entering prohibited zone,-1,"{'accused', 'entering', 'us', 'prohibited', 'zone', 'troops'}",1,0,developed
aust new zealand celebrate trade agreement,1,"{'celebrate', 'agreement', 'trade', 'zealand', 'aust', 'new'}",1,0,developed
aust nz fail reach agreement iraq,0,"{'agreement', 'reach', 'nz', 'aust', 'iraq', 'fail'}",1,1,developed/developing
aust nz iraq differences wont affect trade howard,0,"{'trade', 'affect', 'differences', 'nz', 'aust', 'wont', 'iraq', 'howard'}",1,1,developed/developing
australia upgrades travel warnings mid east,-1,"{'upgrades', 'travel', 'warnings', 'australia', 'east', 'mid'}",1,0,developed
black caps overpower zimbabwe,0,"{'caps', 'black', 'overpower', 'zimbabwe'}",0,1,developing
blair mps threaten quit iraq,-1,"{'blair', 'quit', 'iraq', 'mps', 'threaten'}",0,1,developing
british pm get gas proof armoured jaguar report,0,"{'armoured', 'get', 'jaguar', 'report', 'british', 'pm', 'gas', 'proof'}",1,0,developed
china plans massive relocation scheme beat,0,"{'plans', 'beat', 'scheme', 'relocation', 'china', 'massive'}",1,0,developed
coulthard wins aust grand prix,1,"{'grand', 'wins', 'coulthard', 'prix', 'aust'}",1,0,developed
expert says aust troops gulf since november,0,"{'says', 'november', 'gulf', 'aust', 'expert', 'since', 'troops'}",1,0,developed
hewitt dents us hopes,1,"{'us', 'hopes', 'dents', 'hewitt'}",1,0,developed
howard promises us trade deal wont shut nz,1,"{'trade', 'promises', 'us', 'deal', 'nz', 'wont', 'shut', 'howard'}",1,0,developed
howard talks death penalty aust,-1,"{'death', 'aust', 'talks', 'howard', 'penalty'}",1,0,developed
humphreys kicks ireland within sight grand,1,"{'grand', 'kicks', 'humphreys', 'within', 'ireland', 'sight'}",1,0,developed
indonesians stage mass prayer war iraq,-1,"{'stage', 'prayer', 'war', 'iraq', 'mass', 'indonesians'}",0,1,developing
indonesia rally draws 100000 peace,1,"{'peace', 'rally', 'indonesia', '100000', 'draws'}",0,1,developing
iraq demands end sanctions blix report,0,"{'blix', 'report', 'end', 'iraq', 'sanctions', 'demands'}",0,1,developing
iraq says us uses false pretexts expel envoys,-1,"{'uses', 'says', 'expel', 'envoys', 'us', 'false', 'iraq', 'pretexts'}",1,1,developed/developing
iraq scraps missiles amid us british threat,-1,"{'missiles', 'us', 'british', 'scraps', 'iraq', 'amid', 'threat'}",1,1,developed/developing
japan shows support un,1,"{'japan', 'un', 'support', 'shows'}",1,0,developed
jayasuriya may still line india,0,"{'may', 'still', 'india', 'jayasuriya', 'line'}",0,1,developing
jimmy carter opposes unilateral attack iraq,-1,"{'opposes', 'jimmy', 'attack', 'unilateral', 'iraq', 'carter'}",0,1,developing
macarthurs crippled yacht reaches australia,0,"{'yacht', 'crippled', 'reaches', 'australia', 'macarthurs'}",1,0,developed
massive anti war protest planned indonesia,-1,"{'anti', 'indonesia', 'protest', 'war', 'planned', 'massive'}",0,1,developing
n korea wanted take us spy plane crew hostage,0,"{'korea', 'crew', 'us', 'wanted', 'plane', 'hostage', 'spy', 'n', 'take'}",1,0,developed
pm rules capital punishment aust,-1,"{'capital', 'rules', 'aust', 'pm', 'punishment'}",1,0,developed
reports aust troops iraq offensive hill,-1,"{'reports', 'hill', 'aust', 'iraq', 'troops', 'offensive'}",1,1,developed/developing
russia says british resolution iraq,0,"{'says', 'resolution', 'russia', 'british', 'iraq'}",1,1,developed/developing
saudis deny letting us airfield war,-1,"{'letting', 'saudis', 'us', 'deny', 'war', 'airfield'}",1,0,developed
turkish pm waiting favours us troops deal,1,"{'waiting', 'us', 'deal', 'turkish', 'pm', 'favours', 'troops'}",1,0,developed
un border observers withdrawn iraq kuwait,0,"{'withdrawn', 'kuwait', 'iraq', 'border', 'un', 'observers'}",0,1,developing
us military intensifies search al qaeda members,0,"{'members', 'al', 'us', 'intensifies', 'military', 'qaeda', 'search'}",1,0,developed
us soldiers spotted saudi arabia airport,0,"{'us', 'saudi', 'soldiers', 'airport', 'arabia', 'spotted'}",1,0,developed
zimbabwe sends sos campbell,0,"{'sos', 'sends', 'campbell', 'zimbabwe'}",0,1,developing
add iraq aust angle,0,"{'iraq', 'add', 'aust', 'angle'}",1,1,developed/developing
afp may assist philippines terror attack probe,-1,"{'may', 'terror', 'attack', 'afp', 'assist', 'probe', 'philippines'}",0,1,developing
bali linked iraq says bombing victims,-1,"{'says', 'bombing', 'victims', 'iraq', 'bali', 'linked'}",0,1,developing
bali linked iraq says bombing victims father,-1,"{'says', 'bombing', 'father', 'victims', 'iraq', 'bali', 'linked'}",0,1,developing
bin laden escaped us operation taliban,0,"{'bin', 'taliban', 'us', 'operation', 'escaped', 'laden'}",1,0,developed
british minister says shell quit war without un,-1,"{'says', 'quit', 'british', 'war', 'without', 'shell', 'minister', 'un'}",1,0,developed
british troops prepare iraq invasion,0,"{'invasion', 'british', 'iraq', 'troops', 'prepare'}",1,1,developed/developing
deloitte announces new aust ceo,0,"{'deloitte', 'ceo', 'aust', 'new', 'announces'}",1,0,developed
downer denies us pressured australia expel,-1,"{'pressured', 'expel', 'us', 'downer', 'denies', 'australia'}",1,0,developed
embassy reveals us asked expulsion diplomats,0,"{'embassy', 'reveals', 'us', 'asked', 'expulsion', 'diplomats'}",1,0,developed
embassy reveals us asked expulsion iraqi,0,"{'embassy', 'reveals', 'us', 'asked', 'expulsion', 'iraqi'}",1,0,developed
france rallies support new iraq resolution,1,"{'support', 'rallies', 'resolution', 'france', 'iraq', 'new'}",1,1,developed/developing
india looking secure semi final spot,1,"{'spot', 'secure', 'final', 'india', 'looking', 'semi'}",0,1,developing
iraqi diplomat probe prompted us says downer,0,"{'says', 'us', 'diplomat', 'downer', 'iraqi', 'prompted', 'probe'}",1,0,developed
iraq wont feature indonesian talks downer says,0,"{'says', 'feature', 'downer', 'indonesian', 'wont', 'talks', 'iraq'}",0,1,developing
japan plays north korea missile launch,1,"{'north', 'korea', 'japan', 'plays', 'launch', 'missile'}",1,0,developed
jayasuriya 80 percent certain face india,1,"{'certain', 'percent', '80', 'face', 'india', 'jayasuriya'}",0,1,developing
nz chief executives arm wrestle settle dispute,-1,"{'executives', 'arm', 'settle', 'dispute', 'nz', 'wrestle', 'chief'}",1,0,developed
sociedad stay second spain,0,"{'spain', 'stay', 'sociedad', 'second'}",1,0,developed
us rejects north koreas demand direct talks,-1,"{'north', 'demand', 'us', 'direct', 'rejects', 'talks', 'koreas'}",1,0,developed
us uk warplanes attack iraqi targets,-1,"{'uk', 'warplanes', 'us', 'attack', 'iraqi', 'targets'}",1,0,developed
virus hit larkham return australia,0,"{'return', 'hit', 'larkham', 'australia', 'virus'}",1,0,developed
world media beds us military,0,"{'beds', 'us', 'media', 'world', 'military'}",1,0,developed
bali bomb survivor backs pm bali iraq link,-1,"{'link', 'survivor', 'backs', 'pm', 'iraq', 'bali', 'bomb'}",0,1,developing
bali iraq debate deliberate political strategy,0,"{'strategy', 'political', 'deliberate', 'debate', 'iraq', 'bali'}",0,1,developing
bilateral talks us way forward n,0,"{'way', 'us', 'bilateral', 'talks', 'forward', 'n'}",1,0,developed
britain us lobby draft resolution support,1,"{'draft', 'resolution', 'support', 'us', 'lobby', 'britain'}",1,0,developed
china reveals executions increase,1,"{'executions', 'increase', 'china', 'reveals'}",1,0,developed
claim us undermined legitimacy un vote,-1,"{'legitimacy', 'claim', 'us', 'undermined', 'vote', 'un'}",1,0,developed
denmark builder wins workmanship award,1,"{'wins', 'award', 'builder', 'denmark', 'workmanship'}",1,0,developed
france vows vote un resolution,0,"{'resolution', 'vows', 'vote', 'france', 'un'}",1,0,developed
indonesia names 9 suspects envoy bombing,-1,"{'indonesia', 'bombing', 'envoy', '9', 'suspects', 'names'}",0,1,developing
iran rejects us claim military nuclear,-1,"{'nuclear', 'us', 'claim', 'military', 'rejects', 'iran'}",1,1,developed/developing
iraq fails declare drone aircraft,-1,"{'drone', 'declare', 'aircraft', 'fails', 'iraq'}",0,1,developing
iraq scraps six illegal missiles un inspectors,-1,"{'missiles', 'inspectors', 'scraps', 'illegal', 'iraq', 'un', 'six'}",0,1,developing
keating critical us relationship,-1,"{'keating', 'us', 'relationship', 'critical'}",1,0,developed
kenya mission kill critics,-1,"{'mission', 'kill', 'kenya', 'critics'}",0,1,developing
looming iraq conflict holds us markets hostage,-1,"{'conflict', 'us', 'holds', 'hostage', 'iraq', 'looming', 'markets'}",1,1,developed/developing
nauru deadlock prevents condolence motion,-1,"{'deadlock', 'motion', 'nauru', 'condolence', 'prevents'}",0,1,developing
pm outline case iraq,0,"{'iraq', 'case', 'outline', 'pm'}",0,1,developing
thailand claims production worlds first,0,"{'first', 'worlds', 'claims', 'production', 'thailand'}",0,1,developing
us air force satellite blasts space,0,"{'blasts', 'force', 'space', 'satellite', 'us', 'air'}",1,0,developed
us diplomat resigns iraq war plans,-1,"{'plans', 'us', 'diplomat', 'resigns', 'war', 'iraq'}",1,1,developed/developing
us engages frantic lobbying resolution,-1,"{'engages', 'resolution', 'lobbying', 'us', 'frantic'}",1,0,developed
us may release prisoners guantanamo bay,-1,"{'guantanamo', 'us', 'may', 'release', 'bay', 'prisoners'}",1,0,developed
wall st slump send aust market new four year low,-1,"{'wall', 'slump', 'market', 'st', 'low', 'four', 'send', 'aust', 'year', 'new'}",1,0,developed
amnesty calls police overhaul afghanistan,0,"{'afghanistan', 'amnesty', 'overhaul', 'police', 'calls'}",0,1,developing
aust market continues slide,0,"{'continues', 'slide', 'market', 'aust'}",1,0,developed
australia leads way anti doping says minister,-1,"{'anti', 'says', 'doping', 'way', 'leads', 'australia', 'minister'}",1,0,developed
aust urges security council face,1,"{'council', 'aust', 'face', 'security', 'urges'}",1,0,developed
bush phones howard iraq strategy,0,"{'bush', 'strategy', 'iraq', 'howard', 'phones'}",0,1,developing
calls help australians held us cuba,1,"{'us', 'cuba', 'help', 'australians', 'calls', 'held'}",1,1,developed/developing
downer says us get moral backing war,-1,"{'says', 'us', 'moral', 'downer', 'backing', 'war', 'get'}",1,0,developed
farmers continue iraq trade,0,"{'iraq', 'trade', 'farmers', 'continue'}",0,1,developing
malaysia yet explain rounding,0,"{'rounding', 'malaysia', 'explain', 'yet'}",0,1,developing
man arrested bomb threat china,-1,"{'man', 'china', 'bomb', 'threat', 'arrested'}",1,0,developed
man threatens blow media agency china,-1,"{'man', 'threatens', 'media', 'agency', 'china', 'blow'}",1,0,developed
motion war iraq defeated,-1,"{'motion', 'iraq', 'war', 'defeated'}",0,1,developing
direct bali iraq link anderson,-1,"{'direct', 'link', 'anderson', 'iraq', 'bali'}",0,1,developing
nz rally draws capacity field,0,"{'rally', 'draws', 'capacity', 'nz', 'field'}",1,0,developed
pakistan says difficult support war iraq,-1,"{'says', 'support', 'difficult', 'pakistan', 'war', 'iraq'}",0,1,developing
resignation shows govt ignoring advice iraq,-1,"{'ignoring', 'advice', 'shows', 'govt', 'iraq', 'resignation'}",0,1,developing
rockets blast jail doors france escape,0,"{'escape', 'rockets', 'blast', 'doors', 'france', 'jail'}",1,0,developed
telstra spends 25 million control nz company,0,"{'million', 'company', 'telstra', '25', 'nz', 'spends', 'control'}",1,0,developed
threat wheat fungus australia,-1,"{'australia', 'threat', 'wheat', 'fungus'}",1,0,developed
two police helicopters shot mexico,0,"{'two', 'mexico', 'helicopters', 'police', 'shot'}",0,1,developing
us aims mother bombs saddam,0,"{'us', 'mother', 'aims', 'saddam', 'bombs'}",1,0,developed
us court decision hicks astounding aust lawyer,1,"{'court', 'decision', 'us', 'astounding', 'lawyer', 'aust', 'hicks'}",1,0,developed
us military helicopter crashes ny state,0,"{'helicopter', 'state', 'us', 'ny', 'military', 'crashes'}",1,0,developed
warning shots fired turkish anti us protesters,-1,"{'anti', 'fired', 'protesters', 'us', 'warning', 'turkish', 'shots'}",1,0,developed
aust energy forum kicks darwin,1,"{'energy', 'forum', 'kicks', 'darwin', 'aust'}",1,0,developed
australia looking send warning message world,-1,"{'message', 'warning', 'send', 'australia', 'world', 'looking'}",1,0,developed
australia unchanged davis cup clash sweden,0,"{'cup', 'unchanged', 'sweden', 'australia', 'davis', 'clash'}",1,0,developed
blair committed see iraq crisis downer,-1,"{'blair', 'committed', 'downer', 'iraq', 'crisis', 'see'}",0,1,developing
britain lists six tests iraq avoid war,-1,"{'lists', 'tests', 'avoid', 'war', 'iraq', 'britain', 'six'}",1,1,developed/developing
britain sets fresh demands iraq disarm,1,"{'sets', 'iraq', 'fresh', 'britain', 'disarm', 'demands'}",1,1,developed/developing
british compromise fails woo veto powers,0,"{'fails', 'powers', 'british', 'compromise', 'woo', 'veto'}",1,0,developed
claim us secured un vote majority media,1,"{'claim', 'us', 'media', 'vote', 'un', 'majority', 'secured'}",1,0,developed
creans calls pm show iraq terrorist links,-1,"{'show', 'terrorist', 'pm', 'links', 'calls', 'iraq', 'creans'}",0,1,developing
dollar slips beneath 60 us cents,0,"{'cents', 'us', 'dollar', 'slips', 'beneath', '60'}",1,0,developed
france rejects britain offer iraq,-1,"{'offer', 'rejects', 'france', 'iraq', 'britain'}",1,1,developed/developing
french response baffles britain howard hits,0,"{'french', 'response', 'baffles', 'howard', 'britain', 'hits'}",1,0,developed
howard appeals support campaign iraq,1,"{'support', 'appeals', 'campaign', 'iraq', 'howard'}",0,1,developing
howard states case iraq,0,"{'iraq', 'howard', 'states', 'case'}",0,1,developing
india says malaysia regrets raids workers,-1,"{'says', 'regrets', 'workers', 'raids', 'malaysia', 'india'}",0,1,developing
iraq denies drone aircraft biological warfare,-1,"{'drone', 'aircraft', 'warfare', 'biological', 'denies', 'iraq'}",0,1,developing
iraq destroys three banned missiles,-1,"{'three', 'destroys', 'missiles', 'banned', 'iraq'}",0,1,developing
iraq peace process falling apart chile,1,"{'peace', 'chile', 'iraq', 'process', 'apart', 'falling'}",0,1,developing
japan rockers property manager jailed 27m fraud,-1,"{'rockers', '27m', 'property', 'japan', 'jailed', 'manager', 'fraud'}",1,0,developed
kenya snares semis berth,0,"{'semis', 'snares', 'berth', 'kenya'}",0,1,developing
nauru parliament breaks speaker stalemate,0,"{'stalemate', 'speaker', 'breaks', 'parliament', 'nauru'}",0,1,developing
n korea close nuclear capability us says,0,"{'nuclear', 'korea', 'says', 'us', 'capability', 'close', 'n'}",1,0,developed
philippines military fights rebels,-1,"{'rebels', 'military', 'fights', 'philippines'}",0,1,developing
pine gap aiding us war effort former defence,-1,"{'us', 'effort', 'defence', 'aiding', 'former', 'pine', 'gap', 'war'}",1,0,developed
pm fails link iraq terrorism crean,-1,"{'crean', 'pm', 'fails', 'iraq', 'terrorism', 'link'}",0,1,developing
pm fails truth test iraq crean,0,"{'crean', 'truth', 'test', 'fails', 'pm', 'iraq'}",0,1,developing
pm state case iraq,0,"{'iraq', 'state', 'case', 'pm'}",0,1,developing
police arrest 66 murder series nigeria,-1,"{'nigeria', '66', 'police', 'murder', 'series', 'arrest'}",0,1,developing
protesters rally pm gives iraq speech,-1,"{'rally', 'protesters', 'gives', 'speech', 'pm', 'iraq'}",0,1,developing
russia calls time iraq,0,"{'iraq', 'time', 'calls', 'russia'}",0,1,developing
security council meets iraq draft,1,"{'draft', 'meets', 'council', 'iraq', 'security'}",0,1,developing
suspects serbia pm killing run,-1,"{'killing', 'serbia', 'pm', 'suspects', 'run'}",0,1,developing
turkeys pm fast tracks cabinet new us vote,0,"{'fast', 'us', 'tracks', 'cabinet', 'vote', 'pm', 'new', 'turkeys'}",1,0,developed
us forces commander arrives qatar base,0,"{'qatar', 'us', 'commander', 'arrives', 'base', 'forces'}",1,0,developed
us girl found nine months disappearance,0,"{'found', 'us', 'disappearance', 'months', 'girl', 'nine'}",1,0,developed
us masters womens protest bid goes courts,-1,"{'masters', 'us', 'courts', 'protest', 'womens', 'bid', 'goes'}",1,0,developed
us sticking iraq deadline,0,"{'iraq', 'us', 'sticking', 'deadline'}",1,1,developed/developing
us trade deficit narrows usd 41 billion,-1,"{'41', 'trade', 'usd', 'us', 'billion', 'deficit', 'narrows'}",1,0,developed
wa man heads iraq peace campaign worker,1,"{'peace', 'heads', 'man', 'campaign', 'wa', 'iraq', 'worker'}",0,1,developing
zimbabwe minister says govt amend tough media,0,"{'amend', 'says', 'tough', 'media', 'zimbabwe', 'minister', 'govt'}",0,1,developing
least 11 killed italy 100 car pileup,-1,"{'least', 'pileup', 'italy', '11', 'killed', '100', 'car'}",1,0,developed
aust market follows global rebound,0,"{'market', 'rebound', 'follows', 'aust', 'global'}",1,0,developed
aust us free trade talks begin,1,"{'free', 'trade', 'us', 'aust', 'talks', 'begin'}",1,0,developed
britain considers crisis summit,-1,"{'britain', 'considers', 'crisis', 'summit'}",1,0,developed
environment strategy introduced japan,0,"{'strategy', 'japan', 'introduced', 'environment'}",1,0,developed
france insists peaceful iraq solution,1,"{'solution', 'insists', 'france', 'peaceful', 'iraq'}",1,1,developed/developing
howard moves win iraq doubters,1,"{'doubters', 'iraq', 'howard', 'win', 'moves'}",0,1,developing
howard would defy polls join iraq war,-1,"{'polls', 'join', 'defy', 'would', 'war', 'iraq', 'howard'}",0,1,developing
inquiry examine aust indon relationship,0,"{'indon', 'examine', 'relationship', 'aust', 'inquiry'}",1,0,developed
iraq rejects british proposal avoid war,-1,"{'proposal', 'british', 'avoid', 'rejects', 'war', 'iraq'}",1,1,developed/developing
new hiv prevention drug approved us,1,"{'hiv', 'us', 'prevention', 'drug', 'approved', 'new'}",1,0,developed
senden one shot shy american trio us pga,-1,"{'us', 'american', 'shy', 'senden', 'pga', 'trio', 'one', 'shot'}",1,0,developed
singapore warns travellers virus outbreak,0,"{'warns', 'singapore', 'travellers', 'outbreak', 'virus'}",1,0,developed
sweden expels two iraqi diplomats,-1,"{'two', 'expels', 'diplomats', 'sweden', 'iraqi'}",1,0,developed
turkey bans main kurdish party,1,"{'turkey', 'main', 'party', 'kurdish', 'bans'}",0,1,developing
un majority wants iraq war schroeder,-1,"{'wants', 'war', 'schroeder', 'iraq', 'un', 'majority'}",0,1,developing
un unlikely reach iraq deal howard,0,"{'reach', 'deal', 'howard', 'iraq', 'unlikely', 'un'}",0,1,developing
us claims unusual activity north korea test sites,0,"{'north', 'korea', 'unusual', 'claims', 'activity', 'us', 'sites', 'test'}",1,0,developed
us military masses iraq offensive,-1,"{'us', 'masses', 'military', 'iraq', 'offensive'}",1,1,developed/developing
