headline_text,tokenized_sents,developed_exists,developing_exists,cat,label
aust energy forum kicks darwin,"{'aust', 'darwin', 'forum', 'energy', 'kicks'}",1,0,developed,2
australia looking send warning message world,"{'world', 'australia', 'looking', 'send', 'message', 'warning'}",1,0,developed,0
australia unchanged davis cup clash sweden,"{'unchanged', 'clash', 'australia', 'cup', 'sweden', 'davis'}",1,0,developed,1
blair committed see iraq crisis downer,"{'downer', 'see', 'iraq', 'crisis', 'blair', 'committed'}",0,1,developing,0
britain lists six tests iraq avoid war,"{'six', 'britain', 'avoid', 'iraq', 'war', 'tests', 'lists'}",1,1,developed/developing,0
britain sets fresh demands iraq disarm,"{'demands', 'britain', 'iraq', 'fresh', 'sets', 'disarm'}",1,1,developed/developing,2
british compromise fails woo veto powers,"{'fails', 'woo', 'powers', 'british', 'compromise', 'veto'}",1,0,developed,1
claim us secured un vote majority media,"{'majority', 'media', 'claim', 'vote', 'us', 'un', 'secured'}",1,0,developed,2
creans calls pm show iraq terrorist links,"{'pm', 'links', 'show', 'creans', 'terrorist', 'iraq', 'calls'}",0,1,developing,0
dollar slips beneath 60 us cents,"{'60', 'slips', 'dollar', 'us', 'cents', 'beneath'}",1,0,developed,1
france rejects britain offer iraq,"{'offer', 'britain', 'iraq', 'rejects', 'france'}",1,1,developed/developing,0
french response baffles britain howard hits,"{'howard', 'britain', 'hits', 'baffles', 'response', 'french'}",1,0,developed,2
howard appeals support campaign iraq,"{'support', 'howard', 'appeals', 'campaign', 'iraq'}",0,1,developing,2
howard states case iraq,"{'iraq', 'howard', 'states', 'case'}",0,1,developing,1
india says malaysia regrets raids workers,"{'workers', 'india', 'says', 'raids', 'regrets', 'malaysia'}",0,1,developing,0
iraq denies drone aircraft biological warfare,"{'warfare', 'biological', 'iraq', 'aircraft', 'denies', 'drone'}",0,1,developing,0
iraq destroys three banned missiles,"{'destroys', 'banned', 'iraq', 'missiles', 'three'}",0,1,developing,0
iraq peace process falling apart chile,"{'chile', 'apart', 'peace', 'iraq', 'falling', 'process'}",0,1,developing,2
japan rockers property manager jailed 27m fraud,"{'27m', 'japan', 'rockers', 'fraud', 'jailed', 'manager', 'property'}",1,0,developed,0
kenya snares semis berth,"{'berth', 'snares', 'kenya', 'semis'}",0,1,developing,1
nauru parliament breaks speaker stalemate,"{'breaks', 'nauru', 'speaker', 'stalemate', 'parliament'}",0,1,developing,1
n korea close nuclear capability us says,"{'korea', 'close', 'capability', 'nuclear', 'says', 'us', 'n'}",1,0,developed,1
philippines military fights rebels,"{'military', 'fights', 'philippines', 'rebels'}",0,1,developing,0
pine gap aiding us war effort former defence,"{'effort', 'former', 'gap', 'war', 'us', 'aiding', 'defence', 'pine'}",1,0,developed,0
pm fails link iraq terrorism crean,"{'pm', 'crean', 'terrorism', 'fails', 'iraq', 'link'}",0,1,developing,0
pm fails truth test iraq crean,"{'pm', 'crean', 'truth', 'test', 'iraq', 'fails'}",0,1,developing,1
pm state case iraq,"{'pm', 'state', 'iraq', 'case'}",0,1,developing,1
police arrest 66 murder series nigeria,"{'arrest', '66', 'nigeria', 'murder', 'series', 'police'}",0,1,developing,0
protesters rally pm gives iraq speech,"{'pm', 'rally', 'gives', 'iraq', 'speech', 'protesters'}",0,1,developing,0
russia calls time iraq,"{'time', 'iraq', 'calls', 'russia'}",0,1,developing,1
security council meets iraq draft,"{'meets', 'iraq', 'security', 'draft', 'council'}",0,1,developing,2
suspects serbia pm killing run,"{'pm', 'suspects', 'killing', 'run', 'serbia'}",0,1,developing,0
turkeys pm fast tracks cabinet new us vote,"{'pm', 'fast', 'cabinet', 'turkeys', 'new', 'tracks', 'us', 'vote'}",1,0,developed,2
us forces commander arrives qatar base,"{'qatar', 'base', 'commander', 'arrives', 'us', 'forces'}",1,0,developed,1
us girl found nine months disappearance,"{'found', 'nine', 'months', 'us', 'disappearance', 'girl'}",1,0,developed,1
us masters womens protest bid goes courts,"{'protest', 'womens', 'bid', 'masters', 'goes', 'us', 'courts'}",1,0,developed,0
us sticking iraq deadline,"{'iraq', 'deadline', 'sticking', 'us'}",1,1,developed/developing,1
us trade deficit narrows usd 41 billion,"{'usd', '41', 'us', 'trade', 'narrows', 'deficit', 'billion'}",1,0,developed,0
wa man heads iraq peace campaign worker,"{'campaign', 'peace', 'worker', 'iraq', 'man', 'heads', 'wa'}",0,1,developing,2
zimbabwe minister says govt amend tough media,"{'tough', 'govt', 'amend', 'media', 'says', 'minister', 'zimbabwe'}",0,1,developing,1
least 11 killed italy 100 car pileup,"{'killed', 'car', '11', 'pileup', 'least', '100', 'italy'}",1,0,developed,0
aust market follows global rebound,"{'aust', 'global', 'follows', 'rebound', 'market'}",1,0,developed,1
aust us free trade talks begin,"{'aust', 'begin', 'free', 'talks', 'us', 'trade'}",1,0,developed,2
britain considers crisis summit,"{'crisis', 'summit', 'britain', 'considers'}",1,0,developed,0
environment strategy introduced japan,"{'introduced', 'environment', 'strategy', 'japan'}",1,0,developed,1
france insists peaceful iraq solution,"{'insists', 'peaceful', 'iraq', 'france', 'solution'}",1,1,developed/developing,2
howard moves win iraq doubters,"{'moves', 'howard', 'iraq', 'doubters', 'win'}",0,1,developing,2
howard would defy polls join iraq war,"{'join', 'howard', 'polls', 'iraq', 'war', 'defy', 'would'}",0,1,developing,0
inquiry examine aust indon relationship,"{'aust', 'examine', 'inquiry', 'relationship', 'indon'}",1,0,developed,1
iraq rejects british proposal avoid war,"{'avoid', 'iraq', 'rejects', 'war', 'british', 'proposal'}",1,1,developed/developing,0
new hiv prevention drug approved us,"{'hiv', 'prevention', 'new', 'approved', 'us', 'drug'}",1,0,developed,2
senden one shot shy american trio us pga,"{'shot', 'shy', 'american', 'pga', 'one', 'trio', 'us', 'senden'}",1,0,developed,0
singapore warns travellers virus outbreak,"{'warns', 'travellers', 'singapore', 'virus', 'outbreak'}",1,0,developed,1
sweden expels two iraqi diplomats,"{'iraqi', 'two', 'expels', 'diplomats', 'sweden'}",1,0,developed,0
turkey bans main kurdish party,"{'turkey', 'bans', 'kurdish', 'party', 'main'}",0,1,developing,2
un majority wants iraq war schroeder,"{'majority', 'iraq', 'war', 'un', 'schroeder', 'wants'}",0,1,developing,0
un unlikely reach iraq deal howard,"{'howard', 'iraq', 'unlikely', 'un', 'reach', 'deal'}",0,1,developing,1
us claims unusual activity north korea test sites,"{'north', 'claims', 'activity', 'korea', 'unusual', 'test', 'us', 'sites'}",1,0,developed,1
us military masses iraq offensive,"{'offensive', 'iraq', 'us', 'military', 'masses'}",1,1,developed/developing,0
usq planning us alliance,"{'alliance', 'us', 'planning', 'usq'}",1,0,developed,1
us senate outlaws partial birth abortions,"{'abortions', 'partial', 'outlaws', 'birth', 'us', 'senate'}",1,0,developed,1
us spy planes back north korea skies,"{'north', 'korea', 'spy', 'back', 'us', 'skies', 'planes'}",1,0,developed,1
weapon inspector dies iraq road crash,"{'dies', 'iraq', 'road', 'inspector', 'weapon', 'crash'}",0,1,developing,0
well win andy says zimbabwe captain,"{'captain', 'says', 'well', 'win', 'andy', 'zimbabwe'}",0,1,developing,2
blix completes check list draft iraq,"{'completes', 'list', 'check', 'iraq', 'blix', 'draft'}",0,1,developing,1
bush waives pakistan sanctions,"{'sanctions', 'waives', 'bush', 'pakistan'}",0,1,developing,1
cambodia agrees pay trashing thai embassy,"{'trashing', 'embassy', 'thai', 'agrees', 'pay', 'cambodia'}",0,1,developing,1
china name new president,"{'president', 'name', 'new', 'china'}",1,0,developed,1
dont underestimate kenya gilchrist,"{'underestimate', 'kenya', 'gilchrist', 'dont'}",0,1,developing,2
els take woods germany,"{'germany', 'take', 'els', 'woods'}",1,0,developed,1
ganguly fights shy australia showdown,"{'shy', 'fights', 'australia', 'ganguly', 'showdown'}",1,0,developed,0
greenpeace protesters clash police spain,"{'clash', 'spain', 'greenpeace', 'police', 'protesters'}",1,0,developed,0
india strolls win kiwis,"{'india', 'win', 'strolls', 'kiwis'}",0,1,developing,2
india stroll win kiwis,"{'stroll', 'india', 'win', 'kiwis'}",0,1,developing,2
kenya call test status 2005,"{'call', 'kenya', '2005', 'test', 'status'}",0,1,developing,1
tonga smash south korea world cup play,"{'world', 'play', 'korea', 'smash', 'cup', 'tonga', 'south'}",0,1,developing,2
us stocks flat amid threat war,"{'stocks', 'threat', 'amid', 'war', 'us', 'flat'}",1,0,developed,0
afghanistan releases pakistani prisoners,"{'releases', 'afghanistan', 'prisoners', 'pakistani'}",0,1,developing,0
asia power ahead japan dynasty cup,"{'japan', 'ahead', 'cup', 'dynasty', 'power', 'asia'}",1,0,developed,1
aussies slightly troubled kenya,"{'aussies', 'slightly', 'kenya', 'troubled'}",0,1,developing,0
aust hope friends assist friends free trade,"{'aust', 'hope', 'free', 'assist', 'friends', 'trade'}",1,0,developed,2
belgium refuse transit us forces iraq war,"{'belgium', 'iraq', 'war', 'us', 'transit', 'forces', 'refuse'}",1,1,developed/developing,0
bush prepares americans war iraq,"{'americans', 'iraq', 'war', 'prepares', 'bush'}",0,1,developing,0
china votes new president,"{'president', 'votes', 'new', 'china'}",1,0,developed,1
france says war days away,"{'away', 'days', 'says', 'war', 'france'}",1,0,developed,0
iraq issue come head pm,"{'pm', 'head', 'iraq', 'come', 'issue'}",0,1,developing,1
iraq formal war footing,"{'iraq', 'war', 'formal', 'footing'}",0,1,developing,0
iraq prepares aggression,"{'iraq', 'prepares', 'aggression'}",0,1,developing,0
late helguera goal keeps real top spain,"{'helguera', 'goal', 'real', 'top', 'spain', 'late', 'keeps'}",1,0,developed,2
lee hat trick sets kenya stumbling,"{'hat', 'trick', 'kenya', 'lee', 'stumbling', 'sets'}",0,1,developing,1
like mindedness could help us free trade agreement,"{'like', 'free', 'mindedness', 'us', 'trade', 'agreement', 'could', 'help'}",1,0,developed,2
low risk killer strain pneumonia aust cmo,"{'risk', 'aust', 'pneumonia', 'cmo', 'strain', 'low', 'killer'}",1,0,developed,0
pakistan arrests top al qaeda member,"{'qaeda', 'pakistan', 'member', 'top', 'al', 'arrests'}",0,1,developing,0
russian restaurant bans uk us citizens war,"{'russian', 'bans', 'citizens', 'restaurant', 'war', 'us', 'uk'}",1,0,developed,0
tonga crush south korea spain see tunisia,"{'korea', 'spain', 'tonga', 'crush', 'tunisia', 'south', 'see'}",1,1,developed/developing,1
us protesters plan surround white house,"{'plan', 'surround', 'white', 'us', 'house', 'protesters'}",1,0,developed,0
water supply summit opens japan,"{'japan', 'water', 'summit', 'opens', 'supply'}",1,0,developed,1
australian peace activist vows stay iraq,"{'vows', 'stay', 'australian', 'peace', 'iraq', 'activist'}",0,1,developing,2
australians urged leave iraq,"{'iraq', 'urged', 'leave', 'australians'}",0,1,developing,1
australia plans intimidate sri lanka,"{'sri', 'australia', 'intimidate', 'lanka', 'plans'}",1,0,developed,0
blix advised withdraw staff iraq,"{'staff', 'advised', 'withdraw', 'iraq', 'blix'}",0,1,developing,1
britain orders citizens gulf,"{'orders', 'britain', 'gulf', 'citizens'}",1,0,developed,1
bush phones howard iraq,"{'iraq', 'phones', 'bush', 'howard'}",0,1,developing,1
cabinet must halt march iraq democrats,"{'cabinet', 'must', 'iraq', 'democrats', 'halt', 'march'}",0,1,developing,1
former us ambassador named chinas foreign minister,"{'foreign', 'named', 'former', 'minister', 'us', 'ambassador', 'chinas'}",1,0,developed,1
france must decide overnight iraq veto blair,"{'must', 'overnight', 'iraq', 'france', 'blair', 'decide', 'veto'}",1,1,developed/developing,1
france russia restate veto threat,"{'threat', 'russia', 'france', 'restate', 'veto'}",1,0,developed,0
germany spurns us plea iraq backing,"{'spurns', 'iraq', 'germany', 'plea', 'us', 'backing'}",1,1,developed/developing,1
howard expecting iraq diplomacy come head,"{'howard', 'expecting', 'head', 'iraq', 'come', 'diplomacy'}",0,1,developing,1
india respect kenya srinath,"{'india', 'srinath', 'kenya', 'respect'}",0,1,developing,2
iraqi detainee nauru dead,"{'nauru', 'iraqi', 'detainee', 'dead'}",0,1,developing,0
israel locks palestinian areas festival,"{'locks', 'palestinian', 'israel', 'festival', 'areas'}",1,0,developed,2
israel rejects critical roadmap proposal document,"{'roadmap', 'israel', 'critical', 'document', 'rejects', 'proposal'}",1,0,developed,0
nz pm says miracle avert war,"{'pm', 'says', 'war', 'miracle', 'avert', 'nz'}",1,0,developed,0
pakistan push icc india boycott,"{'pakistan', 'icc', 'india', 'boycott', 'push'}",0,1,developing,0
quick victory quagmire iraq analyst,"{'analyst', 'iraq', 'victory', 'quick', 'quagmire'}",0,1,developing,1
socceroos set play argentina,"{'socceroos', 'set', 'play', 'argentina'}",0,1,developing,2
un work hold iraq kuwait buffer zone,"{'zone', 'work', 'iraq', 'hold', 'buffer', 'un', 'kuwait'}",0,1,developing,1
us hits phones last bid iraq mandate,"{'bid', 'last', 'iraq', 'us', 'mandate', 'hits', 'phones'}",1,1,developed/developing,1
us orders embassy staff mid east,"{'embassy', 'orders', 'staff', 'us', 'east', 'mid'}",1,0,developed,1
us order diplomats middle east,"{'middle', 'diplomats', 'order', 'us', 'east'}",1,0,developed,1
virulent pneumonia bug reach australia,"{'virulent', 'bug', 'pneumonia', 'australia', 'reach'}",1,0,developed,0
zimbabwe stays commonwealth outer,"{'commonwealth', 'stays', 'outer', 'zimbabwe'}",0,1,developing,1
adelaide woman stay iraq human shield,"{'stay', 'adelaide', 'iraq', 'woman', 'human', 'shield'}",0,1,developing,1
athens games affected iraq crisis minister,"{'games', 'affected', 'iraq', 'crisis', 'minister', 'athens'}",0,1,developing,0
australia may 21 cases china virus,"{'australia', 'china', 'virus', '21', 'may', 'cases'}",1,0,developed,1
bishop says un must lead post iraq healing,"{'healing', 'post', 'must', 'says', 'iraq', 'un', 'bishop', 'lead'}",0,1,developing,2
blair loses third mp iraq stance,"{'stance', 'third', 'iraq', 'blair', 'mp', 'loses'}",0,1,developing,0
brazil set host 2014 world cup,"{'world', 'host', 'cup', '2014', 'set', 'brazil'}",0,1,developing,1
catholic lobby condemns iraq war immoral,"{'immoral', 'lobby', 'iraq', 'war', 'catholic', 'condemns'}",0,1,developing,0
china calls security council stop war,"{'china', 'stop', 'war', 'security', 'calls', 'council'}",1,0,developed,0
development squad named india tour,"{'squad', 'named', 'india', 'tour', 'development'}",0,1,developing,1
dfat upgrades travel warnings include syria,"{'upgrades', 'dfat', 'travel', 'include', 'syria', 'warnings'}",0,1,developing,0
dont blame troops vietnam vets,"{'dont', 'blame', 'vets', 'troops', 'vietnam'}",0,1,developing,2
govt defends legal grounds attack iraq,"{'grounds', 'govt', 'attack', 'legal', 'iraq', 'defends'}",0,1,developing,0
govt urges human shields leave iraq,"{'leave', 'urges', 'govt', 'shields', 'iraq', 'human'}",0,1,developing,1
howard commits australian troops us led war,"{'commits', 'australian', 'howard', 'war', 'us', 'led', 'troops'}",1,0,developed,0
indonesia condemns howards war decision,"{'howards', 'indonesia', 'war', 'decision', 'condemns'}",0,1,developing,0
iraq decision splits parliament,"{'iraq', 'decision', 'parliament', 'splits'}",0,1,developing,1
iraq outcome send message north korea downer,"{'north', 'korea', 'downer', 'iraq', 'send', 'message', 'outcome'}",0,1,developing,1
iraq rejects exile option,"{'iraq', 'option', 'rejects', 'exile'}",0,1,developing,0
kenya success fairytale says tikolo,"{'fairytale', 'kenya', 'says', 'tikolo', 'success'}",0,1,developing,2
lee symonds see australia,"{'australia', 'lee', 'symonds', 'see'}",1,0,developed,1
lees deems iraq war without basis,"{'lees', 'without', 'iraq', 'war', 'basis', 'deems'}",0,1,developing,0
lee symonds see australia final,"{'symonds', 'australia', 'lee', 'see', 'final'}",1,0,developed,1
malaysia criticises us attack plans,"{'attack', 'us', 'criticises', 'plans', 'malaysia'}",1,1,developed/developing,0
markets rally prospect short iraq conflict,"{'short', 'rally', 'markets', 'conflict', 'iraq', 'prospect'}",0,1,developing,1
schroeder rejects us ultimatum iraq,"{'ultimatum', 'iraq', 'rejects', 'us', 'schroeder'}",1,1,developed/developing,0
senate begins debate iraq invasion,"{'begins', 'iraq', 'senate', 'debate', 'invasion'}",0,1,developing,1
serbia arrests warlords widow pms shooting,"{'serbia', 'warlords', 'pms', 'arrests', 'shooting', 'widow'}",0,1,developing,0
pressure australia whatmore,"{'pressure', 'australia', 'whatmore'}",1,0,developed,0
turkey may ready assist us,"{'ready', 'turkey', 'assist', 'us', 'may'}",1,1,developed/developing,2
turkey reconsidering disallowing us troops,"{'turkey', 'reconsidering', 'us', 'disallowing', 'troops'}",1,1,developed/developing,1
us graziers still beef free trade,"{'graziers', 'beef', 'free', 'us', 'still', 'trade'}",1,0,developed,2
us troops preparing kuwaiti desert,"{'kuwaiti', 'us', 'preparing', 'desert', 'troops'}",1,0,developed,1
wa team defend mining honour us,"{'team', 'mining', 'us', 'defend', 'wa', 'honour'}",1,0,developed,2
weapons inspectors pull iraq,"{'iraq', 'pull', 'inspectors', 'weapons'}",0,1,developing,0
wheat trade iraq early casualty war,"{'wheat', 'casualty', 'iraq', 'war', 'early', 'trade'}",0,1,developing,0
world leaders condemn iraq war decision,"{'world', 'condemn', 'iraq', 'leaders', 'war', 'decision'}",0,1,developing,0
australia malaysia co operate antarctic,"{'australia', 'operate', 'antarctic', 'co', 'malaysia'}",1,1,developed/developing,1
australia reconsider us trip war looms,"{'looms', 'australia', 'trip', 'war', 'us', 'reconsider'}",1,0,developed,0
china frees ex sect member us residency,"{'sect', 'residency', 'ex', 'member', 'china', 'us', 'frees'}",1,0,developed,2
dozens dissidents arrested cuba,"{'dozens', 'cuba', 'dissidents', 'arrested'}",0,1,developing,0
forget australia sven,"{'australia', 'sven', 'forget'}",1,0,developed,0
france drop desailly euro qualifiers,"{'drop', 'desailly', 'qualifiers', 'france', 'euro'}",1,0,developed,0
iraqi parliament rejects us ultimatum,"{'iraqi', 'ultimatum', 'rejects', 'us', 'parliament'}",1,0,developed,0
iraqi parliament says us led war end,"{'iraqi', 'end', 'says', 'war', 'us', 'led', 'parliament'}",1,0,developed,0
iraq unlikely use chemical biological weapons,"{'use', 'biological', 'iraq', 'unlikely', 'weapons', 'chemical'}",0,1,developing,0
italy supports us stance iraq,"{'stance', 'iraq', 'us', 'supports', 'italy'}",1,1,developed/developing,2
latif gets pakistan captains job,"{'pakistan', 'latif', 'gets', 'captains', 'job'}",0,1,developing,1
mp urges support aust troops,"{'aust', 'support', 'urges', 'mp', 'troops'}",1,0,developed,2
change refugee policy iraq,"{'iraq', 'change', 'policy', 'refugee'}",0,1,developing,0
parliamentary debate iraq enters third day,"{'parliamentary', 'third', 'enters', 'iraq', 'debate', 'day'}",0,1,developing,1
saddam hussein feeling relaxed war us,"{'feeling', 'relaxed', 'saddam', 'war', 'us', 'hussein'}",1,0,developed,1
schumacher aims return podium malaysia,"{'return', 'aims', 'podium', 'malaysia', 'schumacher'}",0,1,developing,1
socceroos argentina clash called,"{'socceroos', 'clash', 'argentina', 'called'}",0,1,developing,1
socceroos argentina clash,"{'socceroos', 'clash', 'argentina'}",0,1,developing,1
south korea voices support us war iraq,"{'support', 'korea', 'voices', 'iraq', 'war', 'us', 'south'}",1,1,developed/developing,0
stunning gains us uk australian markets,"{'stunning', 'australian', 'markets', 'gains', 'us', 'uk'}",1,0,developed,2
thailand expels iraqi diplomats,"{'expels', 'iraqi', 'diplomats', 'thailand'}",0,1,developing,0
turkey may approve us use airspace,"{'use', 'turkey', 'airspace', 'approve', 'us', 'may'}",1,1,developed/developing,1
uncertain fed leaves us rates hold,"{'fed', 'uncertain', 'rates', 'hold', 'us', 'leaves'}",1,0,developed,0
us announces final deadline saddam,"{'announces', 'deadline', 'saddam', 'us', 'final'}",1,0,developed,1
us begins propaganda war gulf,"{'begins', 'propaganda', 'war', 'us', 'gulf'}",1,0,developed,0
us led forces move towards iraq border,"{'move', 'border', 'iraq', 'us', 'towards', 'forces', 'led'}",1,1,developed/developing,1
us led war could start tomorrows deadline,"{'tomorrows', 'start', 'deadline', 'war', 'us', 'led', 'could'}",1,0,developed,0
us troops hit sandstorm kuwaiti desert,"{'sandstorm', 'kuwaiti', 'hit', 'us', 'desert', 'troops'}",1,0,developed,1
us tv networks agree cooperate war,"{'cooperate', 'war', 'us', 'agree', 'networks', 'tv'}",1,0,developed,0
act protesters gather us embassy,"{'embassy', 'gather', 'us', 'act', 'protesters'}",1,0,developed,0
australia gets green light extradite sex,"{'green', 'gets', 'australia', 'sex', 'light', 'extradite'}",1,0,developed,1
britain asks turkey use airspace,"{'turkey', 'use', 'britain', 'asks', 'airspace'}",1,1,developed/developing,1
bush declares war iraq,"{'iraq', 'war', 'bush', 'declares'}",0,1,developing,0
cheaper fuel may result iraq war,"{'fuel', 'result', 'iraq', 'war', 'cheaper', 'may'}",0,1,developing,0
cuban plane lands us hijacking,"{'cuban', 'plane', 'us', 'lands', 'hijacking'}",1,0,developed,1
ganguly leads india final,"{'leads', 'final', 'india', 'ganguly'}",0,1,developing,1
gas alert iraq lobs scuds kuwait,"{'lobs', 'iraq', 'gas', 'scuds', 'kuwait', 'alert'}",0,1,developing,2
howard address nation war iraq,"{'howard', 'iraq', 'war', 'nation', 'address'}",0,1,developing,0
india goes bat kenya,"{'india', 'kenya', 'goes', 'bat'}",0,1,developing,1
iraq condemns us aggression,"{'iraq', 'aggression', 'condemns', 'us'}",1,1,developed/developing,0
iraq deadline passes,"{'iraq', 'deadline', 'passes'}",0,1,developing,1
iraq declares jihad us,"{'iraq', 'declares', 'jihad', 'us'}",1,1,developed/developing,1
iraq denies oil well fires near basra,"{'basra', 'iraq', 'well', 'denies', 'oil', 'fires', 'near'}",0,1,developing,1
iraqi envoy says us attacks breach law,"{'iraqi', 'says', 'breach', 'us', 'attacks', 'envoy', 'law'}",1,0,developed,0
iraq warns israel us ties,"{'israel', 'warns', 'iraq', 'ties', 'us'}",1,1,developed/developing,1
israel high state alert deadline,"{'state', 'high', 'israel', 'deadline', 'alert'}",1,0,developed,2
malaysia condemns attack iraq,"{'iraq', 'attack', 'condemns', 'malaysia'}",0,1,developing,0
nz players call super 12 judicial review,"{'call', 'players', 'review', 'super', '12', 'judicial', 'nz'}",1,0,developed,2
nz pm voices regret start war,"{'pm', 'voices', 'start', 'war', 'regret', 'nz'}",1,0,developed,0
philippines leader warns terrorist attacks,"{'warns', 'leader', 'philippines', 'attacks', 'terrorist'}",0,1,developing,0
police protesters clash turkey,"{'clash', 'turkey', 'protesters', 'police'}",0,1,developing,0
priest calls islamic nations rise us,"{'islamic', 'rise', 'nations', 'priest', 'us', 'calls'}",1,0,developed,1
rain threatening kenya india clash,"{'threatening', 'clash', 'india', 'kenya', 'rain'}",0,1,developing,0
special forces move head israel scud risk,"{'risk', 'israel', 'special', 'move', 'head', 'scud', 'forces'}",1,0,developed,1
us army launches attacks afghanistan,"{'launches', 'us', 'afghanistan', 'attacks', 'army'}",1,1,developed/developing,0
us attack aimed iraqi leadership,"{'leadership', 'iraqi', 'attack', 'aimed', 'us'}",1,0,developed,0
us missiles aimed iraqi meeting british,"{'iraqi', 'aimed', 'missiles', 'us', 'british', 'meeting'}",1,0,developed,1
us tv networks jump war starts,"{'starts', 'jump', 'war', 'us', 'networks', 'tv'}",1,0,developed,0
us unsure heads rolled decapitation strike,"{'strike', 'decapitation', 'unsure', 'us', 'rolled', 'heads'}",1,0,developed,0
us war machine roll arab world,"{'machine', 'world', 'roll', 'arab', 'war', 'us'}",1,0,developed,0
37 civilians injured baghdad raids iraq says,"{'says', 'raids', 'injured', 'iraq', 'civilians', '37', 'baghdad'}",0,1,developing,0
australia us complete first round trade treaty,"{'first', 'australia', 'treaty', 'us', 'round', 'complete', 'trade'}",1,0,developed,1
b52 bombers leave england iraq,"{'b52', 'leave', 'bombers', 'iraq', 'england'}",0,1,developing,1
britain says 30 iraqi oil wells fire,"{'iraqi', '30', 'fire', 'britain', 'says', 'wells', 'oil'}",1,0,developed,1
british confirm 12 killed chopper crash,"{'killed', '12', 'chopper', 'british', 'crash', 'confirm'}",1,0,developed,0
british confirm 12 killed helicopter crash,"{'killed', '12', 'british', 'helicopter', 'crash', 'confirm'}",1,0,developed,0
china treated fast fair coverage iraq war,"{'fast', 'treated', 'fair', 'china', 'iraq', 'war', 'coverage'}",1,1,developed/developing,0
coalition troops make ground southern iraq,"{'coalition', 'ground', 'iraq', 'make', 'southern', 'troops'}",0,1,developing,1
computer virus bring spread iraq conflict,"{'conflict', 'spread', 'iraq', 'virus', 'computer', 'bring'}",0,1,developing,0
copy us troops meet little resistance say,"{'resistance', 'copy', 'little', 'us', 'meet', 'say', 'troops'}",1,0,developed,1
dfat urges australians iraq avoid strategic,"{'dfat', 'urges', 'avoid', 'australians', 'iraq', 'strategic'}",0,1,developing,0
dominguez recalled italy,"{'italy', 'recalled', 'dominguez'}",1,0,developed,1
fed govt send wheat iraq,"{'fed', 'wheat', 'govt', 'iraq', 'send'}",0,1,developing,1
fiji court finds pair guilty treason,"{'court', 'guilty', 'treason', 'finds', 'pair', 'fiji'}",0,1,developing,0
fiji deputy speaker charged speight coup,"{'deputy', 'coup', 'speaker', 'speight', 'charged', 'fiji'}",0,1,developing,0
france recall michalak castaignede,"{'recall', 'castaignede', 'france', 'michalak'}",1,0,developed,1
french sympathies go uk troop deaths,"{'go', 'deaths', 'troop', 'sympathies', 'uk', 'french'}",1,0,developed,1
ground assault reaches northern iraq,"{'ground', 'iraq', 'reaches', 'assault', 'northern'}",0,1,developing,0
howard thanks troops work iraq,"{'work', 'thanks', 'howard', 'iraq', 'troops'}",0,1,developing,2
iraq fires ninth missile kuwait,"{'ninth', 'missile', 'iraq', 'kuwait', 'fires'}",0,1,developing,1
iraq throws world rules pows,"{'world', 'rules', 'pows', 'iraq', 'throws'}",0,1,developing,1
kuranyi gets germany call european qualifier,"{'call', 'qualifier', 'gets', 'european', 'germany', 'kuranyi'}",1,0,developed,1
north korea accuses us preparing strike,"{'north', 'korea', 'strike', 'accuses', 'us', 'preparing'}",1,0,developed,0
officer says iraqi soldiers surrendered us,"{'iraqi', 'surrendered', 'says', 'us', 'officer', 'soldiers'}",1,0,developed,1
pentagon denies warplane downed iraq,"{'pentagon', 'downed', 'iraq', 'denies', 'warplane'}",0,1,developing,0
powell call turkey war flying rights,"{'turkey', 'call', 'powell', 'rights', 'war', 'flying'}",0,1,developing,0
saddam give speech double us officials,"{'double', 'give', 'saddam', 'us', 'speech', 'officials'}",1,0,developed,1
sas iraq adf,"{'iraq', 'adf', 'sas'}",0,1,developing,1
sixteen killed us helicopter crash kuwait,"{'killed', 'sixteen', 'us', 'helicopter', 'kuwait', 'crash'}",1,0,developed,0
third us helicopter iraqi operation,"{'operation', 'iraqi', 'third', 'us', 'helicopter'}",1,0,developed,1
uk forces secure key oil equipment,"{'equipment', 'key', 'secure', 'forces', 'uk', 'oil'}",1,0,developed,2
us confirms one marine dead onslaught,"{'marine', 'one', 'confirms', 'dead', 'us', 'onslaught'}",1,0,developed,0
us flag burned act protest,"{'protest', 'flag', 'us', 'burned', 'act'}",1,0,developed,0
us forces take iraqi port,"{'take', 'iraqi', 'us', 'port', 'forces'}",1,0,developed,1
us making contact republican guard,"{'making', 'guard', 'contact', 'us', 'republican'}",1,0,developed,1
us marines halted iraqi fire,"{'halted', 'iraqi', 'fire', 'us', 'marines'}",1,0,developed,0
us moves expel iraqi diplomats,"{'iraqi', 'moves', 'diplomats', 'us', 'expel'}",1,0,developed,0
us orders last iraqi diplomats,"{'iraqi', 'orders', 'last', 'diplomats', 'us'}",1,0,developed,1
us planning attacking nuke sites north korea,"{'north', 'korea', 'planning', 'attacking', 'nuke', 'us', 'sites'}",1,0,developed,0
us says iraq sailing without rudder,"{'rudder', 'without', 'says', 'iraq', 'us', 'sailing'}",1,1,developed/developing,1
us still hopeful avoiding attack,"{'attack', 'us', 'hopeful', 'still', 'avoiding'}",1,0,developed,0
